,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
185,Jiangyou,8,CN,1554498067,85,31.78,104.73,46.27,1.39
186,Ibb,8,YE,1554498067,94,13.97,44.18,55.9,2.39
187,Carutapera,92,BR,1554498068,90,-1.2,-46.02,79.21,7.2
188,Cowra,0,AU,1554496297,90,-33.84,148.69,54,5.19
189,Morros,75,BR,1554498000,78,-2.87,-44.04,82.4,3.36
190,Ossora,88,RU,1554497884,94,59.24,163.07,29.26,14.36
191,Gombong,12,ID,1554498068,93,-7.19,109.31,67.78,1.5
192,Ostrovnoy,0,RU,1554498069,82,68.05,39.51,20.08,13.24
193,Axim,0,GH,1554498069,97,4.87,-2.24,83.98,13.91
194,Candido Mendes,92,BR,1554498033,100,-1.45,-45.72,78.94,10
195,Cabo San Lucas,75,MX,1554497702,36,22.89,-109.91,87.01,9.17
196,Ulety,0,RU,1554498070,57,51.36,112.48,13.24,7.76
197,Chapais,1,CA,1554494400,40,49.78,-74.86,33.8,18.34
198,Mareeba,90,AU,1554497898,88,-16.99,145.42,75.2,11.41
199,Mana,0,RS,1554496200,50,43.52,20.24,57.2,10.29
200,Digha,8,IN,1554498070,97,21.62,87.51,81.37,13.02
201,Lokosovo,56,RU,1554498071,79,61.13,74.84,33.76,13.8
202,Rio Cuarto,0,AR,1554494400,30,-33.13,-64.35,71.6,4.7
203,Ribeira Grande,75,PT,1554494400,82,38.52,-28.7,59,18.34
204,Solnechnyy,88,RU,1554498071,85,50.72,136.64,28,8.21
205,Saint-Philippe,40,CA,1554498047,35,45.36,-73.48,41,7.09
206,Tuatapere,0,NZ,1554497407,92,-46.13,167.69,41,1.01
207,Rawson,8,AR,1554498072,23,-43.3,-65.11,75.34,7.43
208,Port Elizabeth,90,US,1554497769,87,39.31,-74.98,48.2,10.29
209,Barrow,0,AR,1554498072,48,-38.31,-60.23,67.15,6.42
210,Cockburn Town,48,TC,1554498073,95,21.46,-71.14,79.48,17.49
211,Hay River,40,CA,1554494400,34,60.82,-115.79,21.2,8.05
212,Sola,0,NO,1554498067,70,58.89,5.65,52,2.24
213,Olawa,0,PL,1554498004,41,50.95,17.29,60.8,9.17
214,Rome,0,IT,1554497776,81,41.89,12.48,52,3.36
215,Semey,20,KZ,1554498074,86,50.41,80.25,42.76,9.44
216,Yeniseysk,0,RU,1554498075,67,58.45,92.17,14.14,3.06
217,Georgetown,20,GY,1554494400,74,6.8,-58.16,87.8,13.87
218,Anuchino,44,RU,1554498075,85,43.97,133.06,28.72,6.2
219,Saint George,90,GR,1554493800,76,39.45,22.34,55.4,12.75
220,Jining,0,CN,1554497733,61,35.41,116.58,64,14.58
221,Port Hedland,0,AU,1554494400,83,-20.31,118.58,69.8,6.93
222,Effium,24,NG,1554498076,69,6.63,8.06,84.16,11.34
223,Naze,40,NG,1554494400,83,5.43,7.07,82.4,3.36
224,Puerto Colombia,0,CO,1554498029,55,10.99,-74.96,89.6,13.87
225,Meulaboh,68,ID,1554497886,100,4.14,96.13,80.02,5.41
226,Calabozo,0,VE,1554498077,31,8.92,-67.43,95.5,13.47
227,Marzuq,12,YE,1554498077,82,14.4,46.47,57.34,2.51
228,Olinda,75,EC,1554498059,70,-2.03,-79.75,84.2,3.36
229,Moussoro,0,TD,1554498078,31,13.64,16.49,77.23,5.64
230,Isangel,92,VU,1554498078,100,-19.55,169.27,75.88,13.24
231,Aiquile,88,BO,1554498078,88,-18.2,-65.18,53.92,4.41
232,Nurota,0,UZ,1554496200,76,40.56,65.69,51.8,4.7
233,Walvis Bay,24,NA,1554494400,82,-22.95,14.51,59,10.29
234,Faya,0,SA,1554494400,63,18.39,42.45,66.2,11.41
235,Zhezkazgan,0,KZ,1554498079,89,47.8,67.71,35.29,6.98
236,Vila Velha,20,BR,1554497291,70,-3.71,-38.6,84.2,4.7
237,Tekeli,92,KZ,1554498080,99,44.86,78.76,46.36,2.17
238,Bontang,44,ID,1554498080,100,0.12,117.47,78.31,3.06
239,Hassleholm,0,SE,1554498076,52,56.16,13.77,51.8,6.93
240,Maxixe,44,MZ,1554498081,100,-23.86,35.35,75.7,7.2
241,Ust-Omchug,76,RU,1554498081,76,61.13,149.63,14.14,2.51
242,Strezhevoy,0,RU,1554496200,50,60.73,77.6,33.8,8.95
243,Vila do Maio,20,CV,1554494400,64,15.13,-23.22,71.6,19.46
244,Port Blair,0,IN,1554498082,100,11.67,92.75,83.89,3.51
245,Greystones,75,IE,1554498032,93,53.14,-6.06,45,9.17
246,Norman Wells,5,CA,1554494400,44,65.28,-126.83,21.2,16.11
247,Panguna,20,PG,1554498083,90,-6.32,155.48,76.15,1.72
248,Sitka,64,US,1554498034,41,37.17,-99.65,75.99,20
249,Faanui,88,PF,1554497841,100,-16.48,-151.75,83.98,15.82
250,Saint Anthony,40,US,1554497761,54,43.97,-111.68,59,14.99
251,Usinsk,0,RU,1554497823,85,66,57.56,20.89,10.22
252,Nelson Bay,90,AU,1554497556,100,-32.72,152.14,62.6,5.82
253,Weligama,0,LK,1554498084,98,5.97,80.42,78.67,3.74
254,Alofi,75,NU,1554494400,88,-19.06,-169.92,80.6,5.82
255,Kutum,0,SD,1554498085,19,14.2,24.66,62.74,8.21
256,Kavaratti,0,IN,1554497854,100,10.57,72.64,84.07,4.63
257,Souillac,0,FR,1554498031,71,45.6,-0.6,53.01,4.7
258,Kaitangata,0,NZ,1554498008,87,-46.28,169.85,43,1.99
259,Catuday,88,PH,1554498086,100,16.29,119.81,76.51,4.74
260,Solginskiy,0,RU,1554498086,64,61.05,41.34,18.91,3.4
261,San Quintin,0,PH,1554498086,87,17.54,120.52,68.95,4.41
262,Douglas,0,US,1554498008,23,31.34,-109.55,66.99,3
263,Fort Nelson,90,CA,1554495060,73,58.81,-122.69,23,4.7
264,Pyrzyce,0,PL,1554498021,48,53.15,14.89,60.8,10.29
265,Kataysk,0,RU,1554498087,76,56.29,62.58,24.4,4.18
266,Waverley,56,AU,1554498074,94,-33.9,151.26,63,1.99
267,Kamenka,88,RU,1554496948,80,53.19,44.05,35.01,7.65
268,Hit,0,IQ,1554498088,83,33.64,42.83,56.35,14.47
269,Ponta Delgada,75,PT,1554498064,71,37.73,-25.67,57.2,20.8
270,Waddan,0,LY,1554498089,85,29.16,16.14,62.38,17.72
271,Altay,56,CN,1554498089,92,47.83,88.13,32.86,3.4
272,Chuy,92,UY,1554498089,88,-33.69,-53.46,66.34,18.95
273,Suzun,36,RU,1554498090,80,53.78,82.32,26.83,9.55
274,East London,92,ZA,1554498090,100,-33.02,27.91,67.51,7.76
275,Havre-Saint-Pierre,40,CA,1554497520,58,50.23,-63.6,28.4,29.97
276,Itarema,92,BR,1554498090,100,-2.92,-39.92,76.15,4.18
277,Sibolga,64,ID,1554498091,100,1.74,98.78,70.75,1.61
278,Atar,0,MR,1554498091,34,20.52,-13.05,68.05,6.98
279,Antofagasta,0,CL,1554494400,68,-23.65,-70.4,68,9.17
280,Grand-Santi,88,GF,1554498091,100,4.27,-54.38,75.25,2.51
281,Jati,0,PK,1554498092,85,24.35,68.27,74.44,7.76
282,Pak Phanang,0,TH,1554498092,100,8.35,100.2,80.92,4.74
283,Campbellton,8,CA,1554497918,55,48,-66.68,33.04,8.21
284,Noyabrsk,92,RU,1554498093,98,63.2,75.45,29.62,15.26
285,Ilulissat,75,GL,1554493800,55,69.22,-51.1,33.8,33.33
286,Dunedin,0,NZ,1554498061,88,-45.87,170.5,37.27,3.96
287,Destin,90,US,1554498011,100,30.39,-86.5,68,3.36
288,Tazovskiy,80,RU,1554498021,88,67.47,78.7,22.78,21.52
289,Arman,92,RU,1554498094,74,59.7,150.17,32.59,8.21
290,Talcahuano,0,CL,1554494400,55,-36.72,-73.12,64.4,12.75
291,Napasar,0,IN,1554498094,45,27.97,73.56,74.08,5.53
292,Coahuayana,0,MX,1554498095,25,18.62,-100.35,88.21,3.18
293,Coihaique,40,CL,1554494400,54,-45.58,-72.07,57.2,8.05
294,Normandin,90,CA,1554496680,25,48.84,-72.53,37.4,12.75
295,Goderich,88,CA,1554498089,89,43.74,-81.71,42.01,1.01
296,Mahibadhoo,0,MV,1554498096,100,3.78,72.97,84.34,4.29
297,Galle,75,US,1554498094,58,29.74,-97.91,84,5.82
298,Imbituba,40,BR,1554494400,78,-28.24,-48.67,77,10.29
299,Ormara,0,PK,1554498096,68,25.21,64.64,79.84,14.36
300,Berlevag,0,NO,1554493800,68,70.86,29.09,28.4,21.92
301,Belmonte,0,PT,1554498079,87,40.36,-7.35,42.01,8.99
302,Katrineholm,20,SE,1554498080,80,59,16.21,39,3.36
303,Saldanha,68,PT,1554498097,78,41.42,-6.55,39.97,7.99
304,Lavrentiya,0,RU,1554498098,99,65.58,-170.99,15.67,1.95
305,Torbay,75,CA,1554498090,63,47.66,-52.73,33.01,34.45
306,Manaus,40,BR,1554494400,70,-3.13,-59.98,87.8,6.93
307,Grand Gaube,75,MU,1554497641,94,-20.01,57.66,77,6.93
308,Longjiang,48,CN,1554498099,71,47.33,123.18,28.45,7.76
309,Quballat,40,TN,1554494400,62,36.54,9.66,53.6,5.82
310,Prenzlau,0,DE,1554498021,63,53.32,13.87,60.01,1.99
311,Ha Giang,92,VN,1554498099,98,22.83,104.99,63.46,1.72
312,Hirara,12,JP,1554498100,100,24.8,125.28,71.65,8.43
313,Qaanaaq,8,GL,1554498100,87,77.48,-69.36,3.97,9.66
314,Comodoro Rivadavia,0,AR,1554494400,60,-45.87,-67.48,73.4,29.97
315,Vagur,92,FO,1554498101,97,61.47,-6.81,45.73,19.28
316,Codrington,90,AU,1554498089,100,-28.95,153.24,63,4.7
317,Provideniya,0,RU,1554498101,100,64.42,-173.23,23.5,3.51
318,Wajir,80,KE,1554498101,40,1.75,40.07,87.85,9.22
319,Pathalgaon,0,IN,1554498102,69,22.56,83.46,66.43,2.28
320,Monywa,32,MM,1554498102,72,22.12,95.13,73.54,10.11
321,Arlit,0,NE,1554498102,20,18.74,7.39,80.65,5.08
322,Mehamn,0,NO,1554493800,68,71.03,27.85,30.2,21.92
323,Kuusamo,0,FI,1554495600,85,65.96,29.19,23,4.7
324,Hohhot,0,CN,1554494400,27,40.81,111.65,41,6.71
325,Hasaki,0,JP,1554497561,70,35.73,140.83,48.2,2.24
326,Beringovskiy,0,RU,1554498103,100,63.05,179.32,14.41,7.76
327,Nanortalik,76,GL,1554497820,90,60.14,-45.24,32.68,19.39
328,Forbes,0,AU,1554497313,75,-33.38,148.01,64.99,3
329,Lompoc,90,US,1554497901,67,34.64,-120.46,64,8.05
330,Kushiro,12,JP,1554498104,82,43.11,144.15,29.26,10.78
331,Sokolo,0,ML,1554498104,31,14.74,-6.12,86.86,7.99
332,Collie,0,AU,1554498088,55,-33.36,116.15,46.99,3.96
333,Fare,92,PF,1554498105,98,-16.7,-151.02,84.52,15.26
334,Jhang,12,PK,1554497886,59,33.67,72.7,73.99,8.66
335,Camoapa,40,NI,1554494400,44,12.38,-85.51,95,11.41
336,Raudeberg,0,NO,1554498010,87,61.99,5.14,46.4,5.82
337,Beian,0,NO,1554497996,65,63.66,9.57,41,19.46
338,Apodi,92,BR,1554497997,94,-5.66,-37.8,77.95,3.4
339,Ancud,90,CL,1554494400,71,-41.87,-73.83,55.4,5.82
340,Dingle,64,PH,1554498107,84,11,122.67,77.32,6.76
341,San Cristobal,40,EC,1554498090,56,-0.39,-78.55,71.6,13.87
342,Bonfim,8,GY,1554498108,35,3.36,-59.84,95.32,14.7
343,Buala,88,SB,1554498108,85,-8.15,159.59,84.16,3.4
344,Mumford,0,GH,1554497818,81,5.26,-0.76,82.54,8.66
345,Dubno,0,UA,1554495038,52,50.42,25.75,51.01,1.99
346,Ambovombe,0,MG,1554498109,87,-25.18,46.09,77.32,8.66
347,Nome,90,US,1554497925,78,30.04,-94.42,82.99,4.7
348,Broken Hill,0,AU,1554494400,59,-31.97,141.45,64.4,11.41
349,Anadyr,0,RU,1554494400,84,64.73,177.51,1.4,11.18
350,Haines Junction,80,CA,1554498110,77,60.75,-137.51,22.78,2.84
351,Gravdal,0,NO,1554498076,53,59.79,5.78,51.8,8.05
352,Ginda,68,IN,1554498110,90,30.69,78.49,48.79,2.17
353,Tara,12,JP,1554497976,64,33,130.15,53.01,2.06
354,Dakar,0,SN,1554496200,68,14.69,-17.45,68,23.04
355,Kralendijk,75,BQ,1554494100,62,12.15,-68.27,84.2,18.34
356,Montepuez,12,MZ,1554498111,76,-13.13,39,75.07,6.98
357,Liman,0,RU,1554498111,100,45.78,47.23,39.25,4.52
358,Kloulklubed,75,PW,1554493800,88,7.04,134.26,78.8,11.68
359,Khorixas,0,NA,1554498112,71,-20.37,14.96,62.11,2.73
360,Ayan,56,TR,1554498112,65,40.67,33.6,39.88,2.28
361,Fort Smith,1,US,1554498002,53,35.39,-94.42,75.99,4.7
362,Mount Isa,0,AU,1554496200,60,-20.73,139.49,73.4,3.36
363,Havoysund,0,NO,1554495600,63,71,24.66,30.2,16.11
364,Ballina,75,IE,1554497896,87,54.11,-9.15,46.99,6.93
365,Sennoy,92,RU,1554498114,94,52.16,46.96,32.95,2.95
366,Giyani,68,ZA,1554498114,93,-23.32,30.73,65.35,6.2
367,Willmar,75,US,1554498038,93,45.12,-95.04,59,3.36
368,Ewa Beach,40,US,1554497826,57,21.32,-158.01,82.4,5.82
369,Guayaramerin,20,BO,1554498115,68,-10.82,-65.36,86.95,2.95
370,Port Macquarie,48,AU,1554498005,100,-31.43,152.91,60.01,4.7
371,Udachnyy,88,RU,1554498115,80,66.42,112.4,19.81,2.51
372,Karratha,0,AU,1554498115,78,-20.74,116.85,62.74,3.74
373,Ingham,88,AU,1554498116,89,-18.65,146.16,78.76,14.03
374,Ixtapa,90,MX,1554498016,78,20.71,-105.21,80.01,13.87
375,Sakaraha,44,MG,1554498116,92,-22.91,44.53,68.14,2.62
376,Cochrane,0,CL,1554498116,46,-47.25,-72.57,57.88,4.74
377,Fort Madison,90,US,1554496500,81,40.63,-91.32,57.2,4.7
378,Bogandinskiy,0,RU,1554496200,80,56.89,65.89,32,11.18
379,Kendari,64,ID,1554498117,94,-3.99,122.52,71.83,2.62
